geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1001,-23.549292,-46.63356,sao paulo,SP
1002,-23.548319,-46.63542,sao paulo,SP
1003,-23.549032,-46.635315,sao paulo,SP
1004,-23.550116,-46.63512,sao paulo,SP
1005,-23.54982,-46.635605,sao paulo,SP
1006,-23.550524,-46.636692,sao paulo,SP
1007,-23.550392,-46.637302,sao paulo,SP
1008,-23.544254,-46.63464,sao paulo,SP
1009,-23.546936,-46.63659,sao paulo,SP
1010,-23.547808,-46.636124,sao paulo,SP
1011,-23.54764,-46.636032,sao paulo,SP
1012,-23.547762,-46.63536,são paulo,SP
1013,-23.546923,-46.634262,sao paulo,SP
1014,-23.546434,-46.63383,sao paulo,SP
1015,-23.544827,-46.63087,sao paulo,SP
1016,-23.548494,-46.63349,sao paulo,SP
1017,-23.55001,-46.631165,são paulo,SP
1018,-23.550219,-46.63188,sao paulo,SP
1019,-23.552153,-46.630802,sao paulo,SP
1020,-23.552235,-46.62844,são paulo,SP
1021,-23.545168,-46.632248,sao paulo,SP
1022,-23.544987,-46.633453,sao paulo,SP
1023,-23.542603,-46.630943,sao paulo,SP
1024,-23.54139,-46.629898,são paulo,SP
1025,-23.53992,-46.62835,sao paulo,SP
1026,-23.539495,-46.632843,são paulo,SP
1027,-23.538301,-46.630764,sao paulo,SP
1028,-23.536028,-46.632877,sao paulo,SP
1029,-23.54377,-46.634277,sao paulo,SP
1030,-23.538364,-46.63293,são paulo,SP
1031,-23.536863,-46.63349,sao paulo,SP
1032,-23.538418,-46.634777,sao paulo,SP
1033,-23.540321,-46.636395,sao paulo,SP
1034,-23.54239,-46.63771,sao paulo,SP
1035,-23.541578,-46.641605,sao paulo,SP
1036,-23.5417,-46.64132,sao paulo,SP
1037,-23.545622,-46.639294,sao paulo,SP
1038,-23.542679,-46.638195,sao paulo,SP
1039,-23.541883,-46.63992,sao paulo,SP
1040,-23.540318,-46.637356,sao paulo,SP
1041,-23.544392,-46.6395,sao paulo,SP
1042,-23.544874,-46.640305,sao paulo,SP
1043,-23.546658,-46.64079,são paulo,SP
1044,-23.545752,-46.641327,sao paulo,SP
1045,-23.541594,-46.641895,sao paulo,SP
1046,-23.546082,-46.64482,sao paulo,SP
1047,-23.546272,-46.641224,sao paulo,SP
1048,-23.54745,-46.64017,são paulo,SP
1049,-23.545307,-46.636993,sao paulo,SP
1050,-23.549774,-46.6456,sao paulo,SP
1101,-23.533718,-46.633278,sao paulo,SP
1102,-23.52261,-46.629425,são paulo,SP
1103,-23.535389,-46.63175,são paulo,SP
1104,-23.53522,-46.62461,sao paulo,SP
1105,-23.533745,-46.630634,sao paulo,SP
1106,-23.532495,-46.626404,sao paulo,SP
1107,-23.522005,-46.633972,sao paulo,SP
1108,-23.52376,-46.632416,sao paulo,SP
1109,-23.525356,-46.62754,sao paulo,SP
1120,-23.53076,-46.639217,sao paulo,SP
1121,-23.524588,-46.63439,sao paulo,SP
1122,-23.53128,-46.63726,são paulo,SP
1123,-23.529306,-46.634907,sao paulo,SP
1124,-23.527367,-46.63188,sao paulo,SP
1125,-23.52905,-46.638893,sao paulo,SP
1126,-23.52915,-46.640423,sao paulo,SP
1127,-23.527735,-46.6448,sao paulo,SP
1128,-23.522968,-46.64175,sao paulo,SP
1129,-23.525925,-46.64213,sao paulo,SP
1130,-23.526638,-46.64381,sao paulo,SP
1131,-23.521643,-46.647476,sao paulo,SP
1132,-23.51929,-46.6498,sao paulo,SP
1133,-23.52259,-46.65105,sao paulo,SP
1134,-23.518677,-46.653114,são paulo,SP
1135,-23.521221,-46.65296,sao paulo,SP
1136,-23.52351,-46.666943,são paulo,SP
1137,-23.519573,-46.65427,são paulo,SP
1138,-23.518826,-46.655624,sao paulo,SP
1139,-23.52076,-46.661385,sao paulo,SP
